Date, Name , Memo , Barclays 53895114 , Vat , Net , Purchase / Direct Cost ,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED FT," 2,592.00 ", 432.00 ," 2,160.00 "," 2,160.00 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
28-Sep-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,664.00 ", 444.00 ," 2,220.00 "," 2,220.00 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
26-Oct-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,691.00 ", 448.50 ," 2,242.50 "," 2,242.50 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP, 99.00 , 16.50 , 82.50 , 82.50 , First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,945.00 ", 490.83 ," 2,454.17 "," 2,454.17 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,945.00 ", 490.83 ," 2,454.17 "," 2,454.17 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,762.50 ", 460.42 ," 2,302.08 "," 2,302.08 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 3,260.50 ", 543.42 ," 2,717.08 "," 2,717.08 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,470.00 ", 411.67 ," 2,058.33 "," 2,058.33 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,945.00 ", 490.83 ," 2,454.17 "," 2,454.17 ", First Allied Facilities Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 2,364.00 ", 394.00 ," 1,970.00 "," 1,970.00 ", First Choice FM Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
6-Feb-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS PER INVOICE BBP," 6,476.64 "," 1,079.44 "," 5,397.20 "," 5,397.20 ", First Choice FM Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS PER INVOICE BBP, 472.77 , 78.80 , 393.98 , 393.98 , First Choice FM Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 4,802.40 ", 800.40 ," 4,002.00 "," 4,002.00 ", First Choice FM Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 3,528.78 ", 588.13 ," 2,940.65 "," 2,940.65 ", First Choice FM Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 2,461.70 ", 410.28 ," 2,051.42 "," 2,051.42 ", First Choice FM Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759               BBP," 3,286.04 ", 547.67 ," 2,738.37 "," 2,738.37 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 30,000.00 "," 5,000.00 "," 25,000.00 "," 25,000.00 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 20,000.00 "," 3,333.33 "," 16,666.67 "," 16,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 15,804.74 "," 2,634.12 "," 13,170.62 "," 13,170.62 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 15,000.00 "," 2,500.00 "," 12,500.00 "," 12,500.00 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 10,000.00 "," 1,666.67 "," 8,333.33 "," 8,333.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 20,000.00 "," 3,333.33 "," 16,666.67 "," 16,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759               FT ," 10,000.00 "," 1,666.67 "," 8,333.33 "," 8,333.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 8,534.13 "," 1,422.36 "," 7,111.78 "," 7,111.78 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
2-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 20,000.00 "," 3,333.33 "," 16,666.67 "," 16,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 12,000.00 "," 2,000.00 "," 10,000.00 "," 10,000.00 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
15-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 22,000.00 "," 3,666.67 "," 18,333.33 "," 18,333.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
