LocationID,Location
4021,Birmingham Civil and Family Justice Centre B4 6DS
4022,Cannock Magistrates Court WS11 1AT
4023,Newport Civil and Family Court NP19 7AA
4024,Wellingborough Magistrates Northamptonshire NN8 1HF
4034,GKN Western Approach BS35 4GG
4039,Stafford Combined Court ST16 2QQ
4040,Wellingborough Magistrates 57A Midland Rd NN8 1HF
4041,Barclays Radbroke Knutsford WA16 9EU
4046,Walsall Magistrates West Mids WS2 8HA
4049,"Pets at Home Southend London Road Southend,SS1 1PP"
4051,"Wimbledon depot,SW19 8EG"
4055,Guildford Crown Court Surrey GU1 4ST
4056,Newport Immigration NP18 2LX
4057,O2 CAMDEN LONDON NW1 7JY
4061,Telford Magistrates Court TF3 4HX
4062,John Smith Brewery Center Lane Tadcaster North Yorkshire LS24 9SA
4068,Exchange Plaza Edinburgh EH3 9BY
4072,University of Gloucestershire Park Campus Cheltenham GL50 2RH
4073,University of Gloucestershire Francis Close Hall Campus GL50 4AZ
4077,Reading Tribunal RG1 1DX
4088,Shrewsbury Justice Centre The Court House Preston Street SY2 6NX
4089,Newport IOW Combined PO30 5YT
4090,Barclays Edgware Middx HA8 7RY
4092,EE Sutton Coldfield West Midlands B72 1PH
4097,Birmingham Crown Court 1 Newton Street B4 7NA
4102,Preston Combined Court PR1 2LL
4104,Lancaster Magistrates Court LA1 1XZ
4106,Guildford Magistrates GU1 4QS
4109,Plymouth Crown Devon PL1 2ER
4113,Sunderland Magistrates Court SR1 3AP
4116,LINCOLN COUNTY AND FAMILY LN5 7PS
4117,TSB Camberley Surrey GU15 3RS
4118,Peterlee Magistrates Court SR8 1QR
4119,University of Gloucestershire Oxstalls Campus GL2 9HW
4120,University of Gloucestershire Pittville GL52 3JG
4122,Teesside Combined Middlesbrough TS1 2AE
4123,North Shields County Court NE29 6AR
4132,Carlisle Combined Court Cumbria CA1 1DJ
4134,Darlington County Court DL3 7RL
4143,HP Reading Berkshire RG2 0QJ
4145,MANCHESTER CROWN COURT CROWN SQUARE Courts Of Justice M3 3FL
4146,MANCHESTER TRIBUNAL HEARING CENTRE PICCADILLY EXCHANGE Piccadilly Plaza M1 4AH
4156,Swansea Civic Centre West Glamorgan SA1 3SN
4157,BRISTOL CROWN COURTBS1 1DW
4171,17 Claremont Way Brent Cross NW2 1AJ
4172,Wardian Marsh Way E14 9SJ
4177,Portsmouth Combined PO1 2EB
4179,Garrard House London EC2V 7QA
4181,Lewisham House 25 Molesworth Street SE13 7HF
4184,MANCHESTER COUNTY AND FAMILY COURT M60 9DJ
4185,BURNLEY MAGISTRATES COURT BB11 2BS
4187,Cardiff County Court CF10 1ET
4190,Shard Place 2830 London Bridge SE19SG
4192,O2 Greater Manchester M17 8BN
4197,Berth 34 Port of Tilbury RM18 7NS
4207,1 Portland St Manchester M1 3BE
4226,GSK Stevenage Hertfordshire SG1 2NY
4227,"Lower Thames Crossing 10 Eurocourt, 0liver Close, West Thurrock RM20 3EE"
4230,GSK Harlow Essex CM19 5AW
4235,PLYMOUTH MAGISTRATES COURT Devon PL1 2DP
4236,Lincoln Magistrates Court Lincolnshire LN5 7QA
4238,Hove Crown East Sussex BN3 3BN
4239,Fulham Football Club Craven Cottage Stevenage Rd SW6 6HH
4240,Wilko Portsmouth PO1 1NB
4254,Rolex Showroom 221 Buchanan Street Glasgow G1 2JZ
4255,BT Ryland House Croydon CR0 1SG
4268,O2 Leamington Spa Warwickshire CV32 4BA
4273,"Swindon Crown Court , SN1 2HG"
4274,"Swindon Crown Court,SN12HG"
4277,"Lochside View, Edinburgh , EH12 9DH"
4278,"BT Alexande 1 Lochside View,Edinburgh Park,Edinburgh,EH12 9DH"
4282,Gloucester And Cheltenham County Court GL1 2DE
4283,"Gloucester Crown Court,GL1 2TS"
4284,Milton Keynes Depot Colts Holm Road 52 Colts Holm Road Milton Keynes MK12 5QD
4289,BT Lancaster House Liverpool Merseyside L3 9PY
4290,BT Harmondsworth West Drayton UB7 0FX
4292,The Shard London SE1 9SG
4294,Waterbeach Barracks Dannyend Road Cambridge CB25 9PA
4297,TSB Mid Glamorgan Bridgend CF34 9BW
4298,TSB Inverness IV1 1HN
4299,Worthing Magistrates West Sussex BN11 1JE
4300,Chichester ACTC Wext Sussex PO19 1TY
4304,Coventry Magistrates Court CV1 2SQ
4305,O2 Aylesbury Buckinghamshire HP20 2SP
4306,Coventry Combined Court West Midlands CV1 2SN
4308,Weymouth Combined Court DT4 8BS
