Date, Name , Memo , Barclays 53895114 ,,,,,,,,,,,,,,,,,,,,,,,
13-Jul-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 15,804.74 ",,,,,,,,,,,,,,,,,,,,,,,
10-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 15,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
11-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 10,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
17-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 20,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
23-Aug-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759               FT ," 10,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
1-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 8,534.13 ",,,,,,,,,,,,,,,,,,,,,,,
2-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 20,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
10-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 12,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
13-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
15-Sep-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 22,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
6-Oct-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 40,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
